,_id,dezenas,premiacoes
13,"{'loteria': 'super-sete', 'concurso': 14}","['7', '4', '0', '9', '4', '7', '4']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 4, 'premio': '25.581,46'}, {'acertos': '5 Pontos', 'vencedores': 120, 'premio': '1.218,16'}, {'acertos': '4 Pontos', 'vencedores': 2096, 'premio': '69,74'}, {'acertos': '3 Pontos', 'vencedores': 20458, 'premio': '5,00'}]"
14,"{'loteria': 'super-sete', 'concurso': 15}","['3', '6', '8', '1', '7', '9', '9']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 7, 'premio': '14.579,70'}, {'acertos': '5 Pontos', 'vencedores': 237, 'premio': '615,17'}, {'acertos': '4 Pontos', 'vencedores': 2938, 'premio': '49,62'}, {'acertos': '3 Pontos', 'vencedores': 24803, 'premio': '5,00'}]"
15,"{'loteria': 'super-sete', 'concurso': 16}","['5', '7', '2', '6', '9', '4', '4']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 11, 'premio': '9.573,66'}, {'acertos': '5 Pontos', 'vencedores': 183, 'premio': '822,09'}, {'acertos': '4 Pontos', 'vencedores': 2724, 'premio': '55,22'}, {'acertos': '3 Pontos', 'vencedores': 24580, 'premio': '5,00'}]"
16,"{'loteria': 'super-sete', 'concurso': 17}","['3', '8', '2', '3', '5', '8', '6']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 4, 'premio': '28.531,96'}, {'acertos': '5 Pontos', 'vencedores': 211, 'premio': '772,70'}, {'acertos': '4 Pontos', 'vencedores': 2883, 'premio': '56,55'}, {'acertos': '3 Pontos', 'vencedores': 26444, 'premio': '5,00'}]"
17,"{'loteria': 'super-sete', 'concurso': 18}","['3', '8', '2', '4', '8', '6', '8']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 7, 'premio': '14.500,67'}, {'acertos': '5 Pontos', 'vencedores': 228, 'premio': '635,99'}, {'acertos': '4 Pontos', 'vencedores': 2762, 'premio': '52,50'}, {'acertos': '3 Pontos', 'vencedores': 25160, 'premio': '5,00'}]"
18,"{'loteria': 'super-sete', 'concurso': 19}","['0', '0', '0', '1', '4', '3', '3']","[{'acertos': '7 Pontos', 'vencedores': 1, 'premio': '5.847.953,50'}, {'acertos': '6 Pontos', 'vencedores': 4, 'premio': '25.315,32'}, {'acertos': '5 Pontos', 'vencedores': 172, 'premio': '841,04'}, {'acertos': '4 Pontos', 'vencedores': 2326, 'premio': '62,19'}, {'acertos': '3 Pontos', 'vencedores': 21812, 'premio': '5,00'}]"
19,"{'loteria': 'super-sete', 'concurso': 20}","['4', '9', '3', '9', '8', '1', '3']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 0, 'premio': '0,00'}, {'acertos': '5 Pontos', 'vencedores': 60, 'premio': '1.326,21'}, {'acertos': '4 Pontos', 'vencedores': 989, 'premio': '80,45'}, {'acertos': '3 Pontos', 'vencedores': 10053, 'premio': '5,00'}]"
20,"{'loteria': 'super-sete', 'concurso': 21}","['7', '8', '7', '9', '9', '8', '8']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 4, 'premio': '13.487,65'}, {'acertos': '5 Pontos', 'vencedores': 100, 'premio': '770,72'}, {'acertos': '4 Pontos', 'vencedores': 1316, 'premio': '58,56'}, {'acertos': '3 Pontos', 'vencedores': 11435, 'premio': '5,00'}]"
21,"{'loteria': 'super-sete', 'concurso': 22}","['8', '2', '1', '1', '8', '9', '4']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 2, 'premio': '28.744,71'}, {'acertos': '5 Pontos', 'vencedores': 73, 'premio': '1.125,03'}, {'acertos': '4 Pontos', 'vencedores': 1148, 'premio': '71,53'}, {'acertos': '3 Pontos', 'vencedores': 11825, 'premio': '5,00'}]"
22,"{'loteria': 'super-sete', 'concurso': 23}","['0', '7', '5', '5', '4', '7', '0']","[{'acertos': '7 Pontos', 'vencedores': 0, 'premio': '-'}, {'acertos': '6 Pontos', 'vencedores': 1, 'premio': '58.185,40'}, {'acertos': '5 Pontos', 'vencedores': 89, 'premio': '933,95'}, {'acertos': '4 Pontos', 'vencedores': 1559, 'premio': '53,31'}, {'acertos': '3 Pontos', 'vencedores': 15123, 'premio': '5,00'}]"
